state,company,city,notice_date,layoff_date,employees_affected,closure_type,notes
Kansas,Southern Education Council,,,,,,
Kansas,Parkview Passages Residential Treatment Center,,,,,,
Kansas,Invalco Inc.,,,,,,
Kansas,IRE International,,,,,,
Kansas,Allstate Corp,,,,,,
Kansas,TriStar,,,,,,
Kansas,Shoney's Distribution Center,,,,,,
Kansas,Boeing Commercial Airplane Group,,,,,,
Kansas,"Associated Wholesale Grocers, Inc.",,,,,,
Kansas,Boeing Co.,,,,,,
Kansas,Boeing Co.,,,,,,
Kansas,Halstead Hospital,,,,,,
Kansas,Boeing,,,,,,
Kansas,Boeing Co.,,,,,,
Kansas,Boeing,,,,,,
Kansas,Boeing Co.,,,,,,
Kansas,Boeing Co.,,,,,,
Kansas,Boeing Co.,,,,,,
Kansas,Boeing Co.,,,,,,
Kansas,Midland Credit Manaagement,,,,,,
Kansas,"KEY Industries, Inc.",,,,,,
Kansas,Stanley-Goldblatt Tools,,,,,,
Kansas,Eaton Corporation,,,,,,
Kansas,Levitz Furniture,,,,,,
Kansas,Continental Grain Co.,,,,,,
Kansas,Wolferman's,,,,,,
Kansas,Continental Grain Co.,,,,,,
Kansas,Flair Fold,,,,,,
Kansas,"Alltell Communications , Inc.",,,,,,
Kansas,IFH Deluxe Tank Manufacturing Co.,,,,,,
Kansas,Wards,,,,,,
Kansas,McNally Mfg.,,,,,,
Kansas,Sallie Mae,,,,,,
Kansas,Affiliated Foods,,,,,,
Kansas,Cessna of Independence,,,,,,
Kansas,IMC Salt,,,,,,
Kansas,Dillions Grocery,,,,,,
Kansas,Andrews McMeel Publishing,,,,,,
Kansas,Ramada Inn,,,,,,
Kansas,Convergent Label Technology,,,,,,
Kansas,"ASF-Keystone, Inc.",,,,,,
Kansas,"Heartland Wheat Growers, L.P.",,,,,,
Kansas,"Pillsbury Bakeries, Food Service",,,,,,
Kansas,Gilliland Printing,,,,,,
Kansas,Equifax,,,,,,
Kansas,SAI Automotive,,,,,,
Kansas,College Meadows Hospital,,,,,,
Kansas,Classic Cable,,,,,,
Kansas,Interactive Teleservices,,,,,,
Kansas,New World Pasta,,,,,,
Kansas,Marley Pump,,,,,,
Kansas,Osborn Group Inc.,,,,,,
Kansas,Builders Square,,,,,,
Kansas,Builders Square,,,,,,
Kansas,ABC-NACO,,,,,,
Kansas,Transamerica Finance,,,,,,
Kansas,Tyco Capital Corporation,,,,,,
Kansas,"Farmland Industries, Inc.",,,,,,
Kansas,CNA INSURANCE,,,,,,
Kansas,VECTRON INTERNATIONAL,,,,,,
Kansas,Boeing Commercial Airplane Group,,,,,,
Kansas,EFTC Midwest Facility,,,,,,
Kansas,Boeing Commercial Airplane Group,,,,,,
Kansas,The Signature Group,,,,,,
Kansas,HOBART CORPORATION,,,,,,
Kansas,"Great Bend Manufacturing Co. - Div. of Bush Hog, L",,,,,,
Kansas,Sprint Corporation,,,,,,
Kansas,Health Midwest - Menorah Medical Center,,,,,,
Kansas,Deluxe Check Corporation,,,,,,
Kansas,Modine Mfg,,,,,,
Kansas,"Genmar Manufacturing of Kansas, L.L.C.",,,,,,
Kansas,Alliant Techsystems Inc,,,,,,
Kansas,Farmland Foods,,,,,,
Kansas,EFTC Midwest Facility,,,,,,
Kansas,Montgomery Wards,,,,,,
Kansas,Farmland Industries-Lawrence,,,,,,
Kansas,Farmland Industries-Lawrence,,,,,,
Kansas,Maupintour,,,,,,
Kansas,"Hill's Pet Nutrition, Inc. and Subsidiaries",,,,,,
Kansas,National Garment Company,,,,,,
Kansas,Snorkel/OmniQuip Textron Inc.,,,,,,
Kansas,Burlington Northern Santa Fe Railway,,,,,,
Kansas,Builder's Square,,,,,,
Kansas,Boeing Company,,,,,,
Kansas,Southern Bag Corportation,,,,,,
Kansas,Thomas and Betts,,,,,,
Kansas,Boeing,,,,,,
Kansas,AMPI,,,,,,
Kansas,Household Tax Masters Inc.,,,,,,
Kansas,Spiegel Group Telemarketing Service Inc.,,,,,,
Kansas,The Menninger Clinic,,,,,,
Kansas,KMart,,,,,,
Kansas,Albertsons,,,,,,
Kansas,Snorkel,,,,,,
Kansas,Boeing Company,,,,,,
Kansas,Padgett Thompson Seminar Division,,,,,,
Kansas,International Paper,,,,,,
Kansas,The Boeing Company,,,,,,
Kansas,"Penske Logistics, Inc.",,,,,,
Kansas,"Penske Logistics, Inc.",,,,,,
Kansas,"Penske Logistics, Inc.",,,,,,
Kansas,Best Western International,,,,,,
Kansas,Dearborn Mid-West Conveyor Co.,,,,,,
